doc_id,condition,sample,offset,count,cue_after_named_word_count
SBC041,A,2,2,83,0
SBC041,A,2,3,40,0
SBC041,A,2,beyond,89,0
SBC041,A,3,-3,54,0
SBC041,A,3,-2,69,0
SBC041,A,3,-1,133,0
SBC041,A,3,0,471,0
SBC041,A,3,1,145,0
SBC041,A,3,2,106,0
SBC041,A,3,3,42,0
SBC041,A,3,beyond,115,0
SBC041,A,4,-3,59,0
SBC041,A,4,-2,74,0
SBC041,A,4,-1,110,0
SBC041,A,4,0,448,0
SBC041,A,4,1,154,0
SBC041,A,4,2,109,0
SBC041,A,4,3,47,0
SBC041,A,4,beyond,111,0
SBC041,B,0,-3,55,15
SBC041,B,0,-2,77,18
SBC041,B,0,-1,215,162
SBC041,B,0,0,493,86
SBC041,B,0,1,107,21
SBC041,B,0,2,61,18
SBC041,B,0,3,40,9
SBC041,B,0,beyond,98,21
SBC041,B,1,-3,34,12
SBC041,B,1,-2,63,18
SBC041,B,1,-1,193,152
SBC041,B,1,0,480,88
SBC041,B,1,1,104,21
SBC041,B,1,2,58,16
SBC041,B,1,3,40,9
SBC041,B,1,beyond,80,21
SBC041,B,2,-3,39,11
SBC041,B,2,-2,55,17
SBC041,B,2,-1,161,129
SBC041,B,2,0,418,73
SBC041,B,2,1,74,14
SBC041,B,2,2,50,14
SBC041,B,2,3,28,7
SBC041,B,2,beyond,58,16
SBC041,B,3,-3,58,13
SBC041,B,3,-2,78,19
SBC041,B,3,-1,237,170
SBC041,B,3,0,548,89
SBC041,B,3,1,142,22
SBC041,B,3,2,80,19
SBC041,B,3,3,56,10
SBC041,B,3,beyond,121,21
SBC041,B,4,-3,48,11
SBC041,B,4,-2,68,17
SBC041,B,4,-1,195,146
SBC041,B,4,0,509,88
SBC041,B,4,1,93,16
SBC041,B,4,2,72,18
SBC041,B,4,3,40,10
SBC041,B,4,beyond,98,18
SBC053,A,0,-3,88,0
SBC053,A,0,-2,121,0
SBC053,A,0,-1,148,0
SBC053,A,0,0,432,0
SBC053,A,0,1,194,0
SBC053,A,0,2,132,0
SBC053,A,0,3,75,0
SBC053,A,0,beyond,240,0
SBC053,A,1,-3,63,0
SBC053,A,1,-2,104,0
SBC053,A,1,-1,100,0
SBC053,A,1,0,337,0
SBC053,A,1,1,142,0
SBC053,A,1,2,116,0
SBC053,A,1,3,43,0
SBC053,A,1,beyond,182,0
SBC053,A,2,-3,51,0
SBC053,A,2,-2,98,0
SBC053,A,2,-1,108,0
SBC053,A,2,0,348,0
SBC053,A,2,1,141,0
SBC053,A,2,2,101,0
SBC053,A,2,3,56,0
SBC053,A,2,beyond,175,0
SBC053,A,3,-3,67,0
SBC053,A,3,-2,118,0
SBC053,A,3,-1,120,0
SBC053,A,3,0,341,0
SBC053,A,3,1,153,0
SBC053,A,3,2,113,0
SBC053,A,3,3,65,0
SBC053,A,3,beyond,213,0
SBC053,A,4,-3,70,0
SBC053,A,4,-2,94,0
SBC053,A,4,-1,122,0
SBC053,A,4,0,366,0
SBC053,A,4,1,191,0
SBC053,A,4,2,119,0
SBC053,A,4,3,52,0
SBC053,A,4,beyond,182,0
SBC053,B,0,-3,50,8
SBC053,B,0,-2,48,9
SBC053,B,0,-1,184,147
SBC053,B,0,0,463,49
SBC053,B,0,1,137,25
SBC053,B,0,2,54,6
SBC053,B,0,3,35,5
SBC053,B,0,beyond,125,11
SBC053,B,1,-3,24,6
SBC053,B,1,-2,35,9
SBC053,B,1,-1,148,121
SBC053,B,1,0,338,39
SBC053,B,1,1,75,19
SBC053,B,1,2,28,2
SBC053,B,1,3,17,4
SBC053,B,1,beyond,72,9
SBC053,B,2,-3,51,7
SBC053,B,2,-2,51,9
SBC053,B,2,-1,205,172
SBC053,B,2,0,454,48
SBC053,B,2,1,131,25
SBC053,B,2,2,62,9
SBC053,B,2,3,30,4
SBC053,B,2,beyond,126,10
SBC053,B,3,-3,40,7
SBC053,B,3,-2,52,7
SBC053,B,3,-1,192,156
SBC053,B,3,0,454,45
SBC053,B,3,1,89,22
SBC053,B,3,2,42,6
SBC053,B,3,3,25,4
SBC053,B,3,beyond,102,9
SBC053,B,4,-3,43,7
SBC053,B,4,-2,39,7
SBC053,B,4,-1,160,129
SBC053,B,4,0,396,41
SBC053,B,4,1,113,23
SBC053,B,4,2,40,7
SBC053,B,4,3,25,4
SBC053,B,4,beyond,102,8
SBC012,A,0,-3,83,0
SBC012,A,0,-2,123,0
SBC012,A,0,-1,168,0
SBC012,A,0,0,669,0
SBC012,A,0,1,191,0
SBC012,A,0,2,143,0
SBC012,A,0,3,62,0
SBC012,A,0,beyond,131,0
SBC012,A,1,-3,69,0
SBC012,A,1,-2,97,0
SBC012,A,1,-1,128,0
SBC012,A,1,0,654,0
SBC012,A,1,1,177,0
SBC012,A,1,2,124,0
SBC012,A,1,3,51,0
SBC012,A,1,beyond,101,0
SBC012,A,2,-3,61,0
SBC012,A,2,-2,104,0
SBC012,A,2,-1,119,0
SBC012,A,2,0,648,0
SBC012,A,2,1,151,0
SBC012,A,2,2,107,0
SBC012,A,2,3,47,0
SBC012,A,2,beyond,95,0
SBC012,A,3,-3,82,0
SBC012,A,3,-2,113,0
SBC012,A,3,-1,165,0
SBC012,A,3,0,676,0
SBC012,A,3,1,175,0
SBC012,A,3,2,141,0
SBC012,A,3,3,62,0
SBC012,A,3,beyond,118,0
SBC012,A,4,-3,93,0
SBC012,A,4,-2,134,0
SBC012,A,4,-1,207,0
SBC012,A,4,0,661,0
SBC012,A,4,1,218,0
SBC012,A,4,2,131,0
SBC012,A,4,3,72,0
SBC012,A,4,beyond,139,0
SBC012,B,0,-3,41,14
SBC012,B,0,-2,47,16
SBC012,B,0,-1,365,341
SBC012,B,0,0,688,122
SBC012,B,0,1,109,25
SBC012,B,0,2,54,12
SBC012,B,0,3,26,5
SBC012,B,0,beyond,75,29
SBC012,B,1,-3,43,13
SBC012,B,1,-2,52,14
SBC012,B,1,-1,357,336
SBC012,B,1,0,705,119
SBC012,B,1,1,87,27
SBC012,B,1,2,57,15
SBC012,B,1,3,27,6
SBC012,B,1,beyond,69,28
SBC012,B,2,-3,37,11
SBC012,B,2,-2,40,15
SBC012,B,2,-1,315,301
SBC012,B,2,0,604,97
SBC012,B,2,1,86,19
SBC012,B,2,2,47,11
SBC012,B,2,3,16,3
SBC012,B,2,beyond,58,24
SBC012,B,3,-3,43,12
SBC012,B,3,-2,53,12
SBC012,B,3,-1,330,305
SBC012,B,3,0,712,120
SBC012,B,3,1,95,22
SBC012,B,3,2,69,13
SBC012,B,3,3,31,6
SBC012,B,3,beyond,75,23
SBC012,B,4,-3,42,13
SBC012,B,4,-2,52,15
SBC012,B,4,-1,317,296
SBC012,B,4,0,672,118
SBC012,B,4,1,105,25
SBC012,B,4,2,43,14
SBC012,B,4,3,23,6
SBC012,B,4,beyond,67,27
SBC045,A,0,-3,64,0
SBC045,A,0,-2,110,0
SBC045,A,0,-1,197,0
SBC045,A,0,0,608,0
SBC045,A,0,1,211,0
SBC045,A,0,2,106,0
SBC045,A,0,3,62,0
SBC045,A,0,beyond,169,0
SBC045,A,1,-3,66,0
SBC045,A,1,-2,117,0
SBC045,A,1,-1,218,0
SBC045,A,1,0,671,0
SBC045,A,1,1,237,0
SBC045,A,1,2,123,0
SBC045,A,1,3,62,0
SBC045,A,1,beyond,182,0
SBC045,A,2,-3,63,0
SBC045,A,2,-2,118,0
SBC045,A,2,-1,202,0
SBC045,A,2,0,630,0
SBC045,A,2,1,206,0
SBC045,A,2,2,121,0
SBC045,A,2,3,74,0
SBC045,A,2,beyond,157,0
SBC045,A,3,-3,76,0
SBC045,A,3,-2,117,0
SBC045,A,3,-1,247,0
SBC045,A,3,0,668,0
SBC045,A,3,1,251,0
SBC045,A,3,2,138,0
SBC045,A,3,3,90,0
SBC045,A,3,beyond,191,0
SBC045,A,4,-3,59,0
SBC045,A,4,-2,111,0
SBC045,A,4,-1,167,0
SBC045,A,4,0,565,0
SBC045,A,4,1,201,0
SBC045,A,4,2,100,0
SBC045,A,4,3,59,0
SBC045,A,4,beyond,156,0
SBC045,B,0,-3,48,10
SBC045,B,0,-2,82,11
SBC045,B,0,-1,301,240
SBC045,B,0,0,661,83
SBC045,B,0,1,168,18
SBC045,B,0,2,74,17
SBC045,B,0,3,46,11
SBC045,B,0,beyond,117,19
SBC045,B,1,-3,52,10
SBC045,B,1,-2,97,11
SBC045,B,1,-1,306,233
SBC045,B,1,0,665,85
SBC045,B,1,1,154,18
SBC045,B,1,2,91,20
SBC045,B,1,3,52,11
SBC045,B,1,beyond,135,17
SBC045,B,2,-3,56,10
SBC045,B,2,-2,99,12
SBC045,B,2,-1,311,244
SBC045,B,2,0,647,82
SBC045,B,2,1,192,19
SBC045,B,2,2,94,17
SBC045,B,2,3,51,11
SBC045,B,2,beyond,127,17
SBC045,B,3,-3,58,11
SBC045,B,3,-2,92,12
SBC045,B,3,-1,300,230
SBC045,B,3,0,656,82
SBC045,B,3,1,165,18
SBC045,B,3,2,87,20
SBC045,B,3,3,52,9
SBC045,B,3,beyond,127,20
SBC045,B,4,-3,45,10
SBC045,B,4,-2,75,12
SBC045,B,4,-1,287,216
SBC045,B,4,0,636,82
SBC045,B,4,1,162,19
SBC045,B,4,2,72,18
SBC045,B,4,3,36,11
SBC045,B,4,beyond,97,14
SBC016,A,0,-3,63,0
SBC016,A,0,-2,97,0
SBC016,A,0,-1,110,0
SBC016,A,0,0,411,0
SBC016,A,0,1,114,0
SBC016,A,0,2,118,0
SBC016,A,0,3,57,0
SBC016,A,0,beyond,338,0
SBC016,A,1,-3,93,0
SBC016,A,1,-2,93,0
SBC016,A,1,-1,147,0
SBC016,A,1,0,411,0
SBC016,A,1,1,165,0
SBC016,A,1,2,137,0
SBC016,A,1,3,76,0
SBC016,A,1,beyond,381,0
SBC016,A,2,-3,84,0
SBC016,A,2,-2,109,0
SBC016,A,2,-1,137,0
SBC016,A,2,0,473,0
SBC016,A,2,1,152,0
SBC016,A,2,2,169,0
SBC016,A,2,3,79,0
SBC016,A,2,beyond,449,0
SBC016,A,3,-3,77,0
SBC016,A,3,-2,77,0
SBC016,A,3,-1,118,0
SBC016,A,3,0,445,0
SBC016,A,3,1,151,0
SBC016,A,3,2,120,0
SBC016,A,3,3,65,0
SBC016,A,3,beyond,304,0
SBC016,A,4,-3,81,0
SBC016,A,4,-2,92,0
SBC016,A,4,-1,110,0
SBC016,A,4,0,366,0
SBC016,A,4,1,138,0
SBC016,A,4,2,113,0
SBC016,A,4,3,67,0
SBC016,A,4,beyond,331,0
SBC016,B,0,-3,63,4
SBC016,B,0,-2,65,7
SBC016,B,0,-1,183,153
SBC016,B,0,0,466,95
SBC016,B,0,1,107,10
SBC016,B,0,2,84,6
SBC016,B,0,3,47,2
SBC016,B,0,beyond,250,18
SBC016,B,1,-3,29,7
SBC016,B,1,-2,27,6
SBC016,B,1,-1,158,141
SBC016,B,1,0,388,85
SBC016,B,1,1,50,9
SBC016,B,1,2,41,4
SBC016,B,1,3,22,2
SBC016,B,1,beyond,119,16
SBC016,B,2,-3,54,7
SBC016,B,2,-2,50,8
SBC016,B,2,-1,177,147
SBC016,B,2,0,453,99
SBC016,B,2,1,97,13
SBC016,B,2,2,80,7
SBC016,B,2,3,42,1
SBC016,B,2,beyond,230,13
SBC016,B,3,-3,33,3
SBC016,B,3,-2,39,7
SBC016,B,3,-1,159,129
SBC016,B,3,0,391,79
SBC016,B,3,1,80,10
SBC016,B,3,2,59,5
SBC016,B,3,3,36,1
SBC016,B,3,beyond,184,11
SBC016,B,4,-3,45,7
SBC016,B,4,-2,47,9
SBC016,B,4,-1,202,171
SBC016,B,4,0,493,101
SBC016,B,4,1,80,11
SBC016,B,4,2,75,7
SBC016,B,4,3,46,1
SBC016,B,4,beyond,201,13
SBC014,A,0,-3,134,0
SBC014,A,0,-2,181,0
SBC014,A,0,-1,225,0
SBC014,A,0,0,623,0
SBC014,A,0,1,269,0
SBC014,A,0,2,209,0
SBC014,A,0,3,117,0
SBC014,A,0,beyond,261,0
SBC014,A,1,-3,114,0
SBC014,A,1,-2,121,0
SBC014,A,1,-1,177,0
SBC014,A,1,0,581,0
SBC014,A,1,1,212,0
SBC014,A,1,2,171,0
SBC014,A,1,3,77,0
SBC014,A,1,beyond,184,0
SBC014,A,2,-3,122,0
SBC014,A,2,-2,135,0
SBC014,A,2,-1,163,0
SBC014,A,2,0,532,0
SBC014,A,2,1,223,0
SBC014,A,2,2,182,0
SBC014,A,2,3,86,0
SBC014,A,2,beyond,212,0
SBC014,A,3,-3,95,0
SBC014,A,3,-2,120,0
SBC014,A,3,-1,158,0
SBC014,A,3,0,532,0
SBC014,A,3,1,204,0
SBC014,A,3,2,129,0
SBC014,A,3,3,76,0
SBC014,A,3,beyond,174,0
SBC014,A,4,-3,101,0
SBC014,A,4,-2,137,0
SBC014,A,4,-1,175,0
SBC014,A,4,0,570,0
SBC014,A,4,1,218,0
SBC014,A,4,2,160,0
SBC014,A,4,3,90,0
SBC014,A,4,beyond,170,0
SBC014,B,0,-3,69,18
SBC014,B,0,-2,74,17
SBC014,B,0,-1,343,296
SBC014,B,0,0,667,128
SBC014,B,0,1,170,32
SBC014,B,0,2,89,19
SBC014,B,0,3,59,19
SBC014,B,0,beyond,130,37
SBC014,B,1,-3,67,19
SBC014,B,1,-2,83,15
SBC014,B,1,-1,308,266
SBC014,B,1,0,631,127
SBC014,B,1,1,153,28
SBC014,B,1,2,84,18
SBC014,B,1,3,57,20
SBC014,B,1,beyond,146,41
SBC014,B,2,-3,66,20
SBC014,B,2,-2,73,14
SBC014,B,2,-1,328,284
SBC014,B,2,0,652,123
SBC014,B,2,1,172,32
SBC014,B,2,2,82,22
SBC014,B,2,3,54,22
SBC014,B,2,beyond,126,37
SBC014,B,3,-3,82,20
SBC014,B,3,-2,91,14
SBC014,B,3,-1,349,302
SBC014,B,3,0,718,131
SBC014,B,3,1,216,32
SBC014,B,3,2,102,24
SBC014,B,3,3,64,22
SBC014,B,3,beyond,162,40
SBC014,B,4,-3,64,20
SBC014,B,4,-2,62,17
SBC014,B,4,-1,347,297
SBC014,B,4,0,677,128
SBC014,B,4,1,175,31
SBC014,B,4,2,79,27
SBC014,B,4,3,56,23
SBC014,B,4,beyond,126,39
SBC052,A,0,-3,87,0
SBC052,A,0,-2,94,0
SBC052,A,0,-1,176,0
SBC052,A,0,0,601,0
SBC052,A,0,1,240,0
SBC052,A,0,2,144,0
SBC052,A,0,3,68,0
SBC052,A,0,beyond,198,0
SBC052,A,1,-3,90,0
SBC052,A,1,-2,125,0
SBC052,A,1,-1,217,0
SBC052,A,1,0,689,0
SBC052,A,1,1,267,0
SBC052,A,1,2,167,0
SBC052,A,1,3,84,0
SBC052,A,1,beyond,253,0
SBC052,A,2,-3,100,0
SBC052,A,2,-2,126,0
SBC052,A,2,-1,233,0
SBC052,A,2,0,710,0
SBC052,A,2,1,277,0
SBC052,A,2,2,174,0
SBC052,A,2,3,84,0
SBC052,A,2,beyond,239,0
SBC052,A,3,-3,112,0
SBC052,A,3,-2,138,0
SBC052,A,3,-1,233,0
SBC052,A,3,0,766,0
SBC052,A,3,1,314,0
SBC052,A,3,2,192,0
SBC052,A,3,3,89,0
SBC052,A,3,beyond,277,0
SBC052,A,4,-3,80,0
SBC052,A,4,-2,98,0
SBC052,A,4,-1,180,0
SBC052,A,4,0,645,0
SBC052,A,4,1,232,0
SBC052,A,4,2,159,0
SBC052,A,4,3,67,0
SBC052,A,4,beyond,182,0
SBC052,B,0,-3,44,7
SBC052,B,0,-2,63,13
SBC052,B,0,-1,274,216
SBC052,B,0,0,679,90
SBC052,B,0,1,159,18
SBC052,B,0,2,85,9
SBC052,B,0,3,44,9
SBC052,B,0,beyond,131,14
SBC052,B,1,-3,31,4
SBC052,B,1,-2,48,12
SBC052,B,1,-1,212,164
SBC052,B,1,0,560,80
SBC052,B,1,1,113,15
SBC052,B,1,2,57,8
SBC052,B,1,3,32,11
SBC052,B,1,beyond,96,11
SBC052,B,2,-3,50,6
SBC052,B,2,-2,80,13
SBC052,B,2,-1,302,227
SBC052,B,2,0,693,89
SBC052,B,2,1,155,19
SBC052,B,2,2,91,9
SBC052,B,2,3,51,10
SBC052,B,2,beyond,156,20
SBC052,B,3,-3,55,6
SBC052,B,3,-2,83,15
SBC052,B,3,-1,299,220
SBC052,B,3,0,689,88
SBC052,B,3,1,167,19
SBC052,B,3,2,102,8
SBC052,B,3,3,57,10
SBC052,B,3,beyond,172,17
SBC052,B,4,-3,48,8
SBC052,B,4,-2,78,14
SBC052,B,4,-1,255,193
SBC052,B,4,0,630,85
SBC052,B,4,1,145,18
SBC052,B,4,2,96,7
SBC052,B,4,3,44,7
SBC052,B,4,beyond,158,15
SBC044,A,0,-3,124,0
SBC044,A,0,-2,180,0
SBC044,A,0,-1,209,0
SBC044,A,0,0,769,0
SBC044,A,0,1,350,0
SBC044,A,0,2,192,0
SBC044,A,0,3,108,0
SBC044,A,0,beyond,261,0
SBC044,A,1,-3,139,0
SBC044,A,1,-2,157,0
SBC044,A,1,-1,245,0
SBC044,A,1,0,826,0
SBC044,A,1,1,413,0
SBC044,A,1,2,224,0
SBC044,A,1,3,119,0
SBC044,A,1,beyond,278,0
SBC044,A,2,-3,106,0
SBC044,A,2,-2,156,0
SBC044,A,2,-1,219,0
SBC044,A,2,0,822,0
SBC044,A,2,1,381,0
SBC044,A,2,2,226,0
SBC044,A,2,3,104,0
SBC044,A,2,beyond,262,0
SBC044,A,3,-3,134,0
SBC044,A,3,-2,199,0
SBC044,A,3,-1,246,0
SBC044,A,3,0,692,0
SBC044,A,3,1,392,0
SBC044,A,3,2,225,0
SBC044,A,3,3,112,0
SBC044,A,3,beyond,278,0
SBC044,A,4,-3,128,0
SBC044,A,4,-2,189,0
SBC044,A,4,-1,245,0
SBC044,A,4,0,753,0
SBC044,A,4,1,388,0
SBC044,A,4,2,223,0
SBC044,A,4,3,105,0
SBC044,A,4,beyond,284,0
SBC044,B,0,-3,77,8
SBC044,B,0,-2,86,14
SBC044,B,0,-1,481,395
SBC044,B,0,0,900,91
SBC044,B,0,1,271,24
SBC044,B,0,2,129,11
SBC044,B,0,3,63,4
SBC044,B,0,beyond,154,14
SBC044,B,1,-3,81,8
SBC044,B,1,-2,89,11
SBC044,B,1,-1,470,386
SBC044,B,1,0,932,90
SBC044,B,1,1,334,22
SBC044,B,1,2,142,10
SBC044,B,1,3,74,5
SBC044,B,1,beyond,177,15
SBC044,B,2,-3,64,8
SBC044,B,2,-2,68,7
SBC044,B,2,-1,411,335
SBC044,B,2,0,849,85
SBC044,B,2,1,258,20
SBC044,B,2,2,110,11
SBC044,B,2,3,49,4
SBC044,B,2,beyond,129,10
SBC044,B,3,-3,67,7
SBC044,B,3,-2,80,13
SBC044,B,3,-1,460,383
SBC044,B,3,0,883,89
SBC044,B,3,1,252,23
SBC044,B,3,2,128,10
SBC044,B,3,3,59,4
SBC044,B,3,beyond,167,15
SBC044,B,4,-3,72,6
SBC044,B,4,-2,92,13
SBC044,B,4,-1,457,373
SBC044,B,4,0,914,88
SBC044,B,4,1,300,21
SBC044,B,4,2,147,10
SBC044,B,4,3,60,4
SBC044,B,4,beyond,171,16
SBC039,A,0,-3,91,0
SBC039,A,0,-2,120,0
SBC039,A,0,-1,161,0
SBC039,A,0,0,521,0
SBC039,A,0,1,185,0
SBC039,A,0,2,147,0
SBC039,A,0,3,74,0
SBC039,A,0,beyond,227,0
SBC039,A,1,-3,59,0
SBC039,A,1,-2,84,0
SBC039,A,1,-1,108,0
SBC039,A,1,0,482,0
SBC039,A,1,1,182,0
SBC039,A,1,2,92,0
SBC039,A,1,3,52,0
SBC039,A,1,beyond,159,0
SBC039,A,2,-3,60,0
SBC039,A,2,-2,79,0
SBC039,A,2,-1,121,0
SBC039,A,2,0,519,0
SBC039,A,2,1,172,0
SBC039,A,2,2,108,0
SBC039,A,2,3,47,0
SBC039,A,2,beyond,152,0
SBC039,A,3,-3,70,0
SBC039,A,3,-2,107,0
SBC039,A,3,-1,126,0
SBC039,A,3,0,551,0
SBC039,A,3,1,205,0
SBC039,A,3,2,121,0
SBC039,A,3,3,60,0
SBC039,A,3,beyond,186,0
SBC039,A,4,-3,59,0
SBC039,A,4,-2,91,0
SBC039,A,4,-1,139,0
SBC039,A,4,0,550,0
SBC039,A,4,1,192,0
SBC039,A,4,2,120,0
SBC039,A,4,3,50,0
SBC039,A,4,beyond,169,0
SBC039,B,0,-3,44,9
SBC039,B,0,-2,49,9
SBC039,B,0,-1,213,155
SBC039,B,0,0,481,99
SBC039,B,0,1,159,31
SBC039,B,0,2,56,12
SBC039,B,0,3,42,12
SBC039,B,0,beyond,130,23
SBC039,B,1,-3,31,11
SBC039,B,1,-2,51,10
SBC039,B,1,-1,215,172
SBC039,B,1,0,469,101
SBC039,B,1,1,131,27
SBC039,B,1,2,53,13
SBC039,B,1,3,32,14
SBC039,B,1,beyond,112,22
SBC039,B,2,-3,27,10
SBC039,B,2,-2,52,7
SBC039,B,2,-1,226,173
SBC039,B,2,0,546,112
SBC039,B,2,1,119,28
SBC039,B,2,2,49,11
SBC039,B,2,3,29,12
SBC039,B,2,beyond,124,24
SBC039,B,3,-3,33,8
SBC039,B,3,-2,53,9
SBC039,B,3,-1,214,175
SBC039,B,3,0,501,109
SBC039,B,3,1,103,27
SBC039,B,3,2,47,9
SBC039,B,3,3,32,13
SBC039,B,3,beyond,99,25
SBC039,B,4,-3,27,10
SBC039,B,4,-2,46,8
SBC039,B,4,-1,213,168
SBC039,B,4,0,485,104
SBC039,B,4,1,95,25
SBC039,B,4,2,52,12
SBC039,B,4,3,29,12
SBC039,B,4,beyond,116,23
