doc_id,condition,sample,window,run_length,ref_boundaries_in_span,file_max_legitimate_run,old_auto_flagged,new_degenerate
SBC045,B,3,5,6,1,4,False,True
SBC045,B,4,2,8,2,4,False,True
SBC045,B,4,5,7,1,4,False,True
SBC016,A,0,1,6,0,4,False,True
SBC016,A,0,5,5,0,4,False,True
SBC016,A,0,6,9,2,4,False,True
SBC016,A,1,3,8,2,4,False,True
SBC016,A,2,1,5,1,4,False,True
SBC016,A,2,3,17,2,4,False,True
SBC016,A,3,0,9,2,4,False,True
SBC016,A,3,3,16,2,4,False,True
SBC016,A,3,4,6,1,4,False,True
SBC016,A,4,3,7,1,4,False,True
SBC016,A,4,5,33,7,4,True,True
SBC016,B,0,6,13,0,4,False,True
SBC016,B,1,5,6,1,4,False,True
SBC016,B,1,6,42,4,4,True,True
SBC016,B,2,3,5,1,4,False,True
SBC016,B,3,0,35,9,4,True,True
SBC016,B,3,3,5,1,4,False,True
SBC016,B,3,5,13,2,4,False,True
SBC016,B,4,3,5,1,4,False,True
SBC014,A,0,4,7,2,4,False,True
SBC014,A,1,1,6,1,4,False,True
SBC014,A,1,4,5,1,4,False,True
SBC014,A,2,5,20,3,4,False,True
SBC014,A,3,1,5,1,4,False,True
SBC014,A,3,3,7,2,4,False,True
SBC014,A,3,5,78,13,4,True,True
SBC014,B,0,0,9,2,4,False,True
SBC014,B,0,2,7,2,4,False,True
SBC014,B,0,5,7,2,4,False,True
SBC014,B,0,6,9,2,4,False,True
SBC014,B,0,8,7,2,4,False,True
SBC014,B,1,2,7,2,4,False,True
SBC014,B,1,4,7,2,4,False,True
SBC014,B,1,8,7,1,4,False,True
SBC014,B,2,0,9,2,4,False,True
SBC014,B,2,1,27,5,4,True,True
SBC014,B,2,2,8,2,4,False,True
SBC014,B,2,8,6,1,4,False,True
SBC014,B,3,0,9,2,4,False,True
SBC014,B,3,4,13,3,4,False,True
SBC014,B,3,5,7,2,4,False,True
SBC014,B,3,7,14,4,4,False,True
SBC014,B,3,8,9,2,4,False,True
SBC014,B,4,2,7,2,4,False,True
SBC014,B,4,4,10,2,4,False,True
SBC052,A,0,0,26,6,4,True,True
SBC052,A,0,1,9,2,4,False,True
SBC052,A,0,4,11,3,4,False,True
SBC052,A,1,0,6,1,4,False,True
SBC052,A,1,1,29,7,4,True,True
SBC052,A,1,4,13,2,4,False,True
SBC052,A,1,6,5,1,4,False,True
SBC052,A,2,1,9,2,4,False,True
SBC052,A,2,4,13,3,4,False,True
SBC052,A,3,0,9,2,4,False,True
SBC052,A,3,4,8,2,4,False,True
SBC052,A,4,0,5,1,4,False,True
SBC052,A,4,4,47,10,4,True,True
SBC052,B,0,0,5,1,4,False,True
SBC052,B,0,2,6,1,4,False,True
SBC052,B,0,8,5,1,4,False,True
SBC052,B,1,0,5,1,4,False,True
SBC052,B,1,1,55,11,4,True,True
SBC052,B,1,8,6,1,4,False,True
SBC052,B,3,0,5,1,4,False,True
SBC052,B,3,6,5,1,4,False,True
SBC052,B,4,1,9,2,4,False,True
SBC044,A,0,2,12,3,6,False,True
SBC044,A,0,3,18,3,6,False,True
SBC044,A,0,5,156,33,6,True,True
SBC044,A,0,7,16,4,6,False,True
SBC044,A,0,10,38,10,6,True,True
SBC044,A,1,1,7,1,6,False,True
SBC044,A,1,2,7,1,6,False,True
SBC044,A,1,3,86,18,6,True,True
SBC044,A,1,5,12,3,6,False,True
SBC044,A,1,7,10,2,6,False,True
SBC044,A,1,8,7,1,6,False,True
SBC044,A,2,2,12,3,6,False,True
SBC044,A,2,3,23,4,6,True,True
SBC044,A,2,6,12,3,6,False,True
SBC044,A,3,1,13,3,6,False,True
SBC044,A,3,2,14,4,6,False,True
SBC044,A,3,3,12,3,6,False,True
SBC044,A,3,4,8,1,6,False,True
SBC044,A,3,5,30,6,6,True,True
SBC044,A,3,6,25,6,6,True,True
SBC044,A,3,10,10,2,6,False,True
SBC044,A,4,1,10,2,6,False,True
SBC044,A,4,3,23,4,6,True,True
SBC044,A,4,4,10,3,6,False,True
SBC044,A,4,5,14,3,6,False,True
SBC044,A,4,9,10,2,6,False,True
SBC044,B,0,0,14,7,6,False,False
SBC044,B,0,10,7,2,6,False,True
SBC044,B,1,8,7,2,6,False,True
SBC044,B,1,10,8,2,6,False,True
SBC044,B,2,0,32,3,6,True,True
SBC044,B,2,5,7,2,6,False,True
SBC044,B,3,0,14,7,6,False,False
SBC044,B,3,3,8,1,6,False,True
SBC044,B,4,10,11,2,6,False,True
SBC039,A,1,1,7,2,6,False,True
SBC039,A,1,2,12,4,6,False,False
SBC039,A,1,6,62,14,6,True,True
SBC039,B,0,3,7,2,6,False,True
SBC039,B,1,2,7,1,6,False,True
